n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits_mb,total_memory_mb
1024,0.700000,0.010000,78979,93025,0.081896,0.000000,170441600.000000,473.514655,2111867.055930,133.621070,12430100.000000,7483849.687452,182871700.000000,508.047507,1968319.865786,0.090248,0.098061
1024,0.700000,0.050000,78979,93025,0.118977,0.000000,170441600.000000,473.514655,2111867.055930,111.664606,10387600.000000,8955389.117794,180829200.000000,502.373107,1990552.410783,0.058708,0.066521
1024,0.700000,0.100000,78979,93025,0.168220,0.000000,170441600.000000,473.514655,2111867.055930,101.839291,9473600.000000,9819392.839047,179915200.000000,499.833866,2000664.757619,0.045128,0.052940
1024,0.700000,0.200000,78979,93025,0.265913,0.000000,170441600.000000,473.514655,2111867.055930,95.734480,8905700.000000,10445557.339681,179347300.000000,498.256147,2006999.826593,0.031540,0.039352
1024,0.700000,0.001000,78979,93025,0.072378,0.000000,170441600.000000,473.514655,2111867.055930,174.956195,16275300.000000,5715716.453767,186716900.000000,518.730101,1927784.790771,0.135368,0.143181
1024,0.800000,0.010000,108522,123010,0.053540,0.000000,170441600.000000,473.514655,2111867.055930,130.242257,16021100.000000,7677999.637977,186462700.000000,518.023892,1930412.892230,0.124001,0.131813
1024,0.800000,0.050000,108522,123010,0.090356,0.000000,170441600.000000,473.514655,2111867.055930,110.056906,13538100.000000,9086208.552160,183979700.000000,511.125712,1956465.849221,0.080666,0.088478
1024,0.800000,0.100000,108522,123010,0.142309,0.000000,170441600.000000,473.514655,2111867.055930,101.551906,12491900.000000,9847180.973271,182933500.000000,508.219197,1967654.912851,0.062004,0.069817
1024,0.800000,0.200000,108522,123010,0.245951,0.000000,170441600.000000,473.514655,2111867.055930,93.630599,11517500.000000,10680269.155633,181959100.000000,505.512154,1978191.802444,0.043343,0.051155
1024,0.800000,0.001000,108522,123010,0.043625,0.000000,170441600.000000,473.514655,2111867.055930,206.693765,25425400.000000,4838075.310516,195867000.000000,544.150576,1837726.620615,0.186005,0.193817
1024,0.900000,0.010000,156020,170883,0.026307,0.000000,170441600.000000,473.514655,2111867.055930,133.360838,22789100.000000,7498453.207893,193230700.000000,536.826504,1862799.234283,0.178276,0.186089
1024,0.900000,0.050000,156020,170883,0.064908,0.000000,170441600.000000,473.514655,2111867.055930,129.630215,22151600.000000,7714250.889326,192593200.000000,535.055424,1868965.259417,0.115974,0.123787
1024,0.900000,0.100000,156020,170883,0.116201,0.000000,170441600.000000,473.514655,2111867.055930,118.499792,20249600.000000,8438833.359671,190691200.000000,529.771357,1887606.769479,0.089142,0.096954
1024,0.900000,0.200000,156020,170883,0.218389,0.000000,170441600.000000,473.514655,2111867.055930,93.798681,16028600.000000,10661130.728822,186470200.000000,518.044728,1930335.249278,0.062309,0.070122
1024,0.900000,0.001000,156020,170883,0.018508,0.000000,170441600.000000,473.514655,2111867.055930,170.003453,29050700.000000,5882233.474581,199492300.000000,554.222253,1804330.292447,0.267410,0.275223
1024,0.950000,0.010000,198772,213776,0.017384,0.000000,170441600.000000,473.514655,2111867.055930,177.986771,38049300.000000,5618395.082170,208490900.000000,579.221836,1726454.248123,0.227127,0.234940
1024,0.950000,0.050000,198772,213776,0.059951,0.000000,170441600.000000,473.514655,2111867.055930,116.506062,24906200.000000,8583244.332736,195347800.000000,542.708154,1842610.973863,0.147751,0.155563
1024,0.950000,0.100000,198772,213776,0.109062,0.000000,170441600.000000,473.514655,2111867.055930,115.553664,24702600.000000,8653987.839337,195144200.000000,542.142520,1844533.427076,0.113564,0.121376
1024,0.950000,0.200000,198772,213776,0.216538,0.000000,170441600.000000,473.514655,2111867.055930,93.427700,19972600.000000,10703463.745331,190414200.000000,529.001806,1890352.715291,0.079376,0.087189
1024,0.950000,0.001000,198772,213776,0.008923,0.000000,170441600.000000,473.514655,2111867.055930,166.659494,35627800.000000,6000258.225318,206069400.000000,572.494513,1746741.631703,0.340691,0.348503
1024,0.990000,0.010000,272902,288001,0.011303,0.000000,170441600.000000,473.514655,2111867.055930,139.321738,40124800.000000,7177630.791929,210566400.000000,584.987915,1709437.023191,0.311829,0.319641
1024,0.990000,0.050000,272902,288001,0.054333,0.000000,170441600.000000,473.514655,2111867.055930,115.793001,33348500.000000,8636100.574239,203790100.000000,566.162245,1766278.145994,0.202850,0.210663
1024,0.990000,0.100000,272902,288001,0.103444,0.000000,170441600.000000,473.514655,2111867.055930,111.565238,32130900.000000,8963365.483071,202572500.000000,562.779553,1776894.692024,0.155914,0.163727
1024,0.990000,0.200000,272902,288001,0.209003,0.000000,170441600.000000,473.514655,2111867.055930,93.924674,27050400.000000,10646829.621743,197492000.000000,548.665092,1822605.472627,0.108986,0.116798
1024,0.990000,0.001000,272902,288001,0.002974,0.000000,170441600.000000,473.514655,2111867.055930,171.293850,49332800.000000,5837921.220770,219774400.000000,610.569246,1637815.869364,0.467743,0.475555
2048,0.500000,0.010000,29912,43441,0.114813,0.000000,164801500.000000,457.845534,2184142.741419,126.709790,5504400.000000,7892049.996367,170305900.000000,473.137658,2113549.794810,0.034180,0.049805
2048,0.500000,0.050000,29912,43441,0.152422,0.000000,164801500.000000,457.845534,2184142.741419,108.358463,4707200.000000,9228628.484024,169508700.000000,470.922906,2123489.826776,0.022240,0.037865
2048,0.500000,0.100000,29912,43441,0.195254,0.000000,164801500.000000,457.845534,2184142.741419,100.313068,4357700.000000,9968790.875921,169159200.000000,469.951938,2127877.171327,0.017090,0.032715
