n_features,threshold,backup_fpr,fn_count,bf_queries,system_fpr,system_fnr,model_total_latency_ns,model_avg_latency_ns,model_throughput_qps,bf_avg_latency_ns,bf_total_latency_ns,bf_throughput_qps,total_system_latency_ns,total_system_avg_latency_ns,total_system_throughput_qps,bf_bits,total_memory_mb
16384,0.600000,0.100000,12811,108453,0.093725,0.202685,11533400.000000,91.433328,10936931.000399,105.314745,11421700.000000,9495346.577129,22955100.000000,181.981132,5495075.168481,0.007324,0.132324
16384,0.600000,0.200000,12811,108453,0.185970,0.182438,11533400.000000,91.433328,10936931.000399,103.070454,11178300.000000,9702101.392877,22711700.000000,180.051530,5553965.577214,0.005119,0.130119
16384,0.600000,0.001000,12811,108453,0.008161,0.222183,11533400.000000,91.433328,10936931.000399,145.381870,15767100.000000,6878436.744867,27300500.000000,216.430157,4620428.197286,0.021957,0.146957
16384,0.700000,0.010000,15789,109941,0.011584,0.264965,11533400.000000,91.433328,10936931.000399,107.645010,11834600.000000,9289794.331874,23368000.000000,185.254479,5397980.143786,0.018044,0.143044
16384,0.700000,0.050000,15789,109941,0.045339,0.255766,11533400.000000,91.433328,10936931.000399,106.556244,11714900.000000,9384715.191764,23248300.000000,184.305534,5425773.067278,0.011742,0.136742
16384,0.700000,0.100000,15789,109941,0.089780,0.243794,11533400.000000,91.433328,10936931.000399,107.193859,11785000.000000,9328892.660161,23318400.000000,184.861265,5409462.055716,0.009026,0.134026
16384,0.700000,0.200000,15789,109941,0.185651,0.217606,11533400.000000,91.433328,10936931.000399,109.393220,12026800.000000,9141334.353278,23560200.000000,186.778183,5353944.363800,0.006310,0.131310
16384,0.700000,0.001000,15789,109941,0.005192,0.266505,11533400.000000,91.433328,10936931.000399,107.211141,11786900.000000,9327388.880876,23320300.000000,184.876328,5409021.324769,0.027061,0.152061
16384,0.800000,0.010000,19719,111819,0.009476,0.323988,11533400.000000,91.433328,10936931.000399,106.944258,11958400.000000,9350665.640888,23491800.000000,186.235928,5369533.198818,0.022537,0.147537
16384,0.800000,0.050000,19719,111819,0.042555,0.313028,11533400.000000,91.433328,10936931.000399,109.958057,12295400.000000,9094376.758788,23828800.000000,188.907563,5293594.306050,0.014664,0.139664
16384,0.800000,0.100000,19719,111819,0.084249,0.296127,11533400.000000,91.433328,10936931.000399,106.591903,11919000.000000,9381575.635540,23452400.000000,185.923577,5378554.007266,0.011269,0.136269
16384,0.800000,0.200000,19719,111819,0.181532,0.266593,11533400.000000,91.433328,10936931.000399,103.118432,11530600.000000,9697587.289473,23064000.000000,182.844459,5469129.379119,0.007881,0.132881
16384,0.800000,0.001000,19719,111819,0.002727,0.325792,11533400.000000,91.433328,10936931.000399,108.499450,12132300.000000,9216636.581687,23665700.000000,187.614555,5330076.862294,0.033798,0.158798
16384,0.900000,0.010000,25996,114514,0.007697,0.415273,11533400.000000,91.433328,10936931.000399,108.564018,12432100.000000,9211154.993927,23965500.000000,189.991280,5263399.470072,0.029709,0.154709
16384,0.900000,0.050000,25996,114514,0.039867,0.401673,11533400.000000,91.433328,10936931.000399,107.012243,12254400.000000,9344725.159943,23787800.000000,188.582527,5302718.200086,0.019325,0.144325
16384,0.900000,0.100000,25996,114514,0.084142,0.383319,11533400.000000,91.433328,10936931.000399,106.255130,12167700.000000,9411310.272278,23701100.000000,187.895196,5322115.851163,0.014854,0.139854
16384,0.900000,0.200000,25996,114514,0.181909,0.344586,11533400.000000,91.433328,10936931.000399,102.627626,11752300.000000,9743965.011104,23285700.000000,184.602029,5417058.538073,0.010384,0.135384
16384,0.900000,0.001000,25996,114514,0.001402,0.418310,11533400.000000,91.433328,10936931.000399,107.669805,12329700.000000,9287655.011882,23863100.000000,189.179483,5285985.475483,0.044556,0.169556
2048,0.200000,0.010000,7843,96304,0.109524,0.135431,11970800.000000,94.900904,10537307.448124,105.595822,10169300.000000,9470071.686350,22140100.000000,175.520057,5697354.573828,0.008965,0.024590
2048,0.200000,0.050000,7843,96304,0.140157,0.131250,11970800.000000,94.900904,10537307.448124,114.566373,11033200.000000,8728564.695646,23004000.000000,182.368797,5483394.192314,0.005836,0.021461
